No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,,,,,,,,,,,,,time 2,time 1,delay 1,delay 2,jiter
1,0,fe80::ffff:ffff:fffe,ff02::2,ICMPv6,103,Router Solicitation,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000151,0,2.000151,4.000389,2.000238
2,2.000151,fe80::ffff:ffff:fffe,ff02::2,ICMPv6,103,Router Solicitation,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00054,2.000151,4.000389,0.452434,3.547955
3,6.00054,fe80::ffff:ffff:fffe,ff02::2,ICMPv6,103,Router Solicitation,,,,,,,,,,,,,,,,,,,,,,,,,,,6.452974,6.00054,0.452434,0.01627,0.436164
4,6.452974,192.168.100.10,74.125.130.136,TCP,54,"50248  >  443 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0",,,,,,,,,,,,,,,,,,,,,,,,,,,6.469244,6.452974,0.01627,0.000148,0.016122
5,6.469244,74.125.130.136,192.168.100.10,TCP,54,"443  >  50248 [FIN, ACK] Seq=1 Ack=2 Win=283 Len=0",,,,,,,,,,,,,,,,,,,,,,,,,,,6.469392,6.469244,0.000148,7.540892,7.540744
6,6.469392,192.168.100.10,74.125.130.136,TCP,54,50248  >  443 [ACK] Seq=2 Ack=2 Win=254 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.010284,6.469392,7.540892,1.974585,5.566307
7,14.010284,fe80::ffff:ffff:fffe,ff02::2,ICMPv6,103,Router Solicitation,,,,,,,,,,,,,,,,,,,,,,,,,,,15.984869,14.010284,1.974585,0.024886,1.949699
8,15.984869,192.168.100.10,74.125.200.188,TLSv1.2,80,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,16.009755,15.984869,0.024886,0.012385,0.012501
9,16.009755,74.125.200.188,192.168.100.10,TCP,54,5228  >  49169 [ACK] Seq=1 Ack=27 Win=265 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.02214,16.009755,0.012385,0.199649,0.187264
10,16.02214,74.125.200.188,192.168.100.10,TLSv1.2,80,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,16.221789,16.02214,0.199649,2.382061,2.182412
11,16.221789,192.168.100.10,74.125.200.188,TCP,54,49169  >  5228 [ACK] Seq=27 Ack=27 Win=254 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.60385,16.221789,2.382061,0.00303,2.379031
12,18.60385,LiteonTe_f9:2f:0b,HuaweiTe_c7:50:48,ARP,42,Who has 192.168.100.1? Tell 192.168.100.10,,,,,,,,,,,,,,,,,,,,,,,,,,,18.60688,18.60385,0.00303,1.266073,1.263043
13,18.60688,HuaweiTe_c7:50:48,LiteonTe_f9:2f:0b,ARP,42,192.168.100.1 is at 20:65:8e:c7:50:48,,,,,,,,,,,,,,,,,,,,,,,,,,,19.872953,18.60688,1.266073,3.050576,1.784503
14,19.872953,fe80::2265:8eff:fec7:5050,ff02::2,ICMPv6,70,Router Solicitation from 20:65:8e:c7:50:50,,,,,,,,,,,,,,,,,,,,,,,,,,,22.923529,19.872953,3.050576,0.021783,3.028793
15,22.923529,192.168.100.10,69.171.250.60,TLSv1.2,85,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,22.945312,22.923529,0.021783,0.266398,0.244615
16,22.945312,69.171.250.60,192.168.100.10,TCP,54,443  >  50231 [ACK] Seq=1 Ack=32 Win=246 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.21171,22.945312,0.266398,0.150089,0.116309
17,23.21171,69.171.250.60,192.168.100.10,TLSv1.2,92,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,23.361799,23.21171,0.150089,9.90E-05,0.14999
18,23.361799,69.171.250.60,192.168.100.10,TCP,92,"[TCP Retransmission] 443  >  50231 [PSH, ACK] Seq=1 Ack=32 Win=246 Len=38",,,,,,,,,,,,,,,,,,,,,,,,,,,23.361898,23.361799,9.90E-05,0.454057,0.453958
19,23.361898,192.168.100.10,69.171.250.60,TCP,66,50231  >  443 [ACK] Seq=32 Ack=39 Win=932 Len=0 SLE=1 SRE=39,,,,,,,,,,,,,,,,,,,,,,,,,,,23.815955,23.361898,0.454057,,
20,23.815955,192.168.100.10,192.168.100.1,DNS,75,Standard query 0xf600 A www.youtube.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot delay,23.815955,tot jiter,32.859648
21,23.842171,192.168.100.1,192.168.100.10,DNS,237,Standard query response 0xf600 A www.youtube.com CNAME youtube-ui.l.google.com A 74.125.68.190 A 172.217.194.91 A 172.217.194.190 A 172.217.194.93 A 172.217.194.136 A 74.125.24.136 A 74.125.24.91 A 74.125.24.190,,,,,,,,,,,,,,,,,,,,,,,,,,,,rat delay,0.002449697,rat jiter,0.003379927
22,23.8467,192.168.100.10,74.125.68.190,TCP,66,50249  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23.863795,74.125.68.190,192.168.100.10,TCP,66,"443  >  50249 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM=1 WS=256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,23.863979,192.168.100.10,74.125.68.190,TCP,54,50249  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,23.866398,192.168.100.10,74.125.68.190,TLSv1.3,635,Client Hello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,23.885998,74.125.68.190,192.168.100.10,TCP,54,443  >  50249 [ACK] Seq=1 Ack=582 Win=66816 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,23.901816,74.125.68.190,192.168.100.10,TLSv1.3,266,"Server Hello, Change Cipher Spec, Application Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,23.909987,192.168.100.10,74.125.68.190,TLSv1.3,118,"Change Cipher Spec, Application Data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,23.911022,192.168.100.10,74.125.68.190,TLSv1.3,146,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,23.912893,192.168.100.10,74.125.68.190,TCP,1466,50249  >  443 [ACK] Seq=738 Ack=213 Win=66048 Len=1412 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,23.912923,192.168.100.10,74.125.68.190,TLSv1.3,382,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,23.930166,74.125.68.190,192.168.100.10,TCP,56,[TCP Previous segment not captured] 443  >  50249 [ACK] Seq=824 Ack=2478 Win=72448 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
